project_name,package_name,class_name,BrainMethod,ClassDataShouldBePrivate,ComplexClass,DataClass,DispersedCoupling,FeatureEnvy,GodClass,IntensiveCoupling,LazyClass,LongMethod,LongParameterList,MessageChain,RefusedBequest,ShotgunSurgery,SpaghettiCode,SpeculativeGenerality
Rivfader-master,evaluation,edu.rivfader.relalg.operation.evaluation.RenameTableEvaluationIterator,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Rivfader-master,evaluation,edu.rivfader.relalg.operation.evaluation.SelectionEvaluationIterator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rivfader-master,operations,edu.rivfader.relalg.operations.IRelAlgExprTransformation,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Rivfader-master,operations,edu.rivfader.relalg.operations.IStubResult,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Rivfader-master,optimization,edu.rivfader.relalg.operations.optimization.CombinedOptimization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rivfader-master,optimization,edu.rivfader.relalg.operations.optimization.IOptimization,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Rivfader-master,optimization,edu.rivfader.relalg.operations.optimization.IteratedOptimization,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rivfader-master,optimization,edu.rivfader.relalg.operations.optimization.SelectionSplitter,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Rivfader-master,treereorderer,edu.rivfader.relalg.operations.optimization.treereorderer.IReorderingScheme,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rivfader-master,treereorderer,edu.rivfader.relalg.operations.optimization.treereorderer.MovingProjectionState,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rivfader-master,treereorderer,edu.rivfader.relalg.operations.optimization.treereorderer.MovingSelectionState,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rivfader-master,treereorderer,edu.rivfader.relalg.operations.optimization.treereorderer.SearchingAcceptedNodeState,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Rivfader-master,treereorderer,edu.rivfader.relalg.operations.optimization.treereorderer.SelectionPushDownScheme,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rivfader-master,treereorderer,edu.rivfader.relalg.operations.optimization.treereorderer.TreeReorderer,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Rivfader-master,treereorderer,edu.rivfader.relalg.operations.optimization.treereorderer.TreeReordererState,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Rivfader-master,profiling_evaluation,edu.rivfader.relalg.operations.profiling_evaluation.Block1Costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rivfader-master,profiling_evaluation,edu.rivfader.relalg.operations.profiling_evaluation.CountingIterator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rivfader-master,profiling_evaluation,edu.rivfader.relalg.operations.profiling_evaluation.ICostAccumulator,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Rivfader-master,profiling_evaluation,edu.rivfader.relalg.operations.profiling_evaluation.ICountingIterator,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Rivfader-master,profiling_evaluation,edu.rivfader.relalg.operations.profiling_evaluation.ProductStatisticsIterator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rivfader-master,profiling_evaluation,edu.rivfader.relalg.operations.profiling_evaluation.ProfilingEvaluator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rivfader-master,profiling_evaluation,edu.rivfader.relalg.operations.profiling_evaluation.ProjectionStatisticsIterator,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Rivfader-master,profiling_evaluation,edu.rivfader.relalg.operations.profiling_evaluation.SelectionStatisticsIterator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rivfader-master,profiling_evaluation,edu.rivfader.relalg.operations.profiling_evaluation.StatisticsIterator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rivfader-master,operations,edu.rivfader.relalg.operations.ProvidedColumnsAnalysis,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Rivfader-master,operations,edu.rivfader.relalg.operations.RequiredColumnsAnalysis,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Rivfader-master,operations,edu.rivfader.relalg.operations.RowFactory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rivfader-master,operations,edu.rivfader.relalg.operations.RowSetStubResult,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rivfader-master,operations,edu.rivfader.relalg.operations.StubResult,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Rivfader-master,representation,edu.rivfader.relalg.representation.IColumnProjection,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Rivfader-master,representation,edu.rivfader.relalg.representation.IQualifiedColumnName,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Rivfader-master,representation,edu.rivfader.relalg.representation.IQualifiedNameRow,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Rivfader-master,representation,edu.rivfader.relalg.representation.IRelAlgExpr,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Rivfader-master,representation,edu.rivfader.relalg.representation.ITable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rivfader-master,representation,edu.rivfader.relalg.representation.LoadTable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rivfader-master,representation,edu.rivfader.relalg.representation.LoadTable.WrappingIterator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rivfader-master,representation,edu.rivfader.relalg.representation.Product,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rivfader-master,representation,edu.rivfader.relalg.representation.Projection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rivfader-master,representation,edu.rivfader.relalg.representation.QualifiedColumnName,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Rivfader-master,representation,edu.rivfader.relalg.representation.QualifiedColumnSelector,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rivfader-master,representation,edu.rivfader.relalg.representation.QualifiedNameRow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rivfader-master,representation,edu.rivfader.relalg.representation.RenameTable,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Rivfader-master,representation,edu.rivfader.relalg.representation.RenameTable.RenamingIterator,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Rivfader-master,representation,edu.rivfader.relalg.representation.Selection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rivfader-master,representation,edu.rivfader.relalg.representation.UnqualifiedColumnSelector,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rivfader-master,operations,edu.rivfader.rowselector.operations.AcceptsRowEvaluator,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Rivfader-master,operations,edu.rivfader.rowselector.operations.BaseRowSelectorTransformation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rivfader-master,operations,edu.rivfader.rowselector.operations.ConjunctionSplitter,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Rivfader-master,operations,edu.rivfader.rowselector.operations.RequiredColumnsOfRowSelector,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Rivfader-master,operations,edu.rivfader.rowselector.operations.RowselectorStubResult,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rivfader-master,representation,edu.rivfader.rowselector.representation.Always,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Rivfader-master,representation,edu.rivfader.rowselector.representation.BinaryOperation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rivfader-master,representation,edu.rivfader.rowselector.representation.Column,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rivfader-master,representation,edu.rivfader.rowselector.representation.Comparision,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rivfader-master,representation,edu.rivfader.rowselector.representation.IRowSelector,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Rivfader-master,representation,edu.rivfader.rowselector.representation.IValueProvider,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Rivfader-master,representation,edu.rivfader.rowselector.representation.Literal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rivfader-master,representation,edu.rivfader.rowselector.representation.QualifiedColumn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rivfader-master,commands,edu.rivfader.test.commands.CreateTableTest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rivfader-master,commands,edu.rivfader.test.commands.DeleteTest,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Rivfader-master,commands,edu.rivfader.test.commands.DropTableTest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rivfader-master,commands,edu.rivfader.test.commands.InsertCommandWithoutValuesTest,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Rivfader-master,commands,edu.rivfader.test.commands.InsertCommandWithValuesTest,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Rivfader-master,commands,edu.rivfader.test.commands.PrintQueryTest,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Rivfader-master,commands,edu.rivfader.test.commands.UpdateTableTest,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Rivfader-master,data,edu.rivfader.test.data.RowTest,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Rivfader-master,fixtures,edu.rivfader.test.fixtures.RunQueries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rivfader-master,evaluation,edu.rivfader.test.relalg.operations.evaluation.LoadTableEvaluationIteratorTest,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Rivfader-master,evaluation,edu.rivfader.test.relalg.operations.evaluation.ProductEvaluationIteratorTest,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
Rivfader-master,evaluation,edu.rivfader.test.relalg.operations.evaluation.ProjectionEvaluationIteratorTest,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
Rivfader-master,evaluation,edu.rivfader.test.relalg.operations.evaluation.RenameTableEvaluationIteratorTest,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Rivfader-master,evaluation,edu.rivfader.test.relalg.operations.evaluation.SelectionEvaluationIteratorTest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rivfader-master,optimization,edu.rivfader.test.relalg.operation.optimization.CombinedOptimizationTest,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Rivfader-master,optimization,edu.rivfader.test.relalg.operation.optimization.IteratedOptimizationTest,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Rivfader-master,optimization,edu.rivfader.test.relalg.operation.optimization.SelectionSplitterTest,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
Rivfader-master,treereorderer,edu.rivfader.test.relalg.operations.optimization.treereorderer.SelectionPushDownSchemeTest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rivfader-master,treereorderer,edu.rivfader.test.relalg.operation.optimization.treereorderer.TreeReordererTest,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
Rivfader-master,treereorderer,edu.rivfader.test.relalg.operation.optimization.treereorderer.TreeReordererTest.ExpressionSubresult,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Rivfader-master,treereorderer,edu.rivfader.test.relalg.operation.optimization.treereorderer.TreeReordererTest.ProjectionCollection,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Rivfader-master,profiling_evaluation,edu.rivfader.test.relalg.operations.profiling_evaluation.Block1CostsTests,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rivfader-master,profiling_evaluation,edu.rivfader.test.relalg.operations.profiling_evaluation.Block1CostsTests.ProjectionCollection,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Rivfader-master,profiling_evaluation,edu.rivfader.test.relalg.operations.profiling_evaluation.CountingIteratorTest,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Rivfader-master,profiling_evaluation,edu.rivfader.test.relalg.operations.profiling_evaluation.ProductStatisticsIteratorTest,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Rivfader-master,profiling_evaluation,edu.rivfader.test.relalg.operations.profiling_evaluation.ProductStatisticsIteratorTest.RowCountingIterator,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Rivfader-master,profiling_evaluation,edu.rivfader.test.relalg.operations.profiling_evaluation.ProjectionStatisticsIteratorTest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rivfader-master,profiling_evaluation,edu.rivfader.test.relalg.operations.profiling_evaluation.SelectionStatisticsIteratorTest,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Rivfader-master,profiling_evaluation,edu.rivfader.test.relalg.operations.profiling_evaluation.SelectionStatisticsIteratorTest.RowCounter,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Rivfader-master,operations,edu.rivfader.test.relalg.operations.ProvidedColumnsAnalysisTest,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Rivfader-master,operations,edu.rivfader.test.relalg.operations.RequiredColumnsAnalysisTest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rivfader-master,representation,edu.rivfader.test.relalg.representation.LoadTableTest,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Rivfader-master,representation,edu.rivfader.test.relalg.representation.ProductTest,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Rivfader-master,representation,edu.rivfader.test.relalg.representation.ProjectionTest,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Rivfader-master,representation,edu.rivfader.test.relalg.representation.QualifiedColumnNameTest,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Rivfader-master,representation,edu.rivfader.test.relalg.representation.QualifiedColumnSelectorTest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rivfader-master,representation,edu.rivfader.test.relalg.representation.QualifiedNameRowTest,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Rivfader-master,representation,edu.rivfader.test.relalg.representation.RenameTableTest,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
Rivfader-master,representation,edu.rivfader.test.relalg.representation.SelectionTest,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Rivfader-master,representation,edu.rivfader.test.relalg.representation.UnqualifiedColumnSelectorTest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rivfader-master,operations,edu.rivfader.test.rowselector.operations.AcceptsRowEvaluatorTest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rivfader-master,operations,edu.rivfader.test.rowselector.operations.ConjunctionSplitterTest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rivfader-master,operations,edu.rivfader.test.rowselector.operations.RequiredColumnsOfRowSelectorTest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rivfader-master,representation,edu.rivfader.test.rowselector.representation.BooleanValueCombinationTest,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Rivfader-master,representation,edu.rivfader.test.rowselector.representation.ColumnTest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rivfader-master,representation,edu.rivfader.test.rowselector.representation.LiteralTest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rivfader-master,representation,edu.rivfader.test.rowselector.representation.QualifiedColumnTest,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Rivfader-master,representation,edu.rivfader.test.rowselector.representation.ValueComparerTest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sugarscape-master,scr,scr.SCBug,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0
Sugarscape-master,scr,scr.SCChartBodycount,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Sugarscape-master,scr,scr.SCChartGeneration,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Sugarscape-master,scr,scr.SCChartGini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sugarscape-master,scr,scr.SCChartLifespan,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Sugarscape-master,scr,scr.SCChartPopulation,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sugarscape-master,scr,scr.SCChartPopulationAge,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sugarscape-master,scr,scr.SCChartSugar,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Sugarscape-master,scr,scr.SCChartWealth,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sugarscape-master,scr,scr.SCGrid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sugarscape-master,scr,scr.SCHelper,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Sugarscape-master,scr,scr.SCSugarBug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XMPP-Client-master,xmppclient,xmppclient.AboutDialog,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
XMPP-Client-master,xmppclient,xmppclient.AccountManagerUI,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
XMPP-Client-master,audio,xmppclient.audio.AudioFile,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
XMPP-Client-master,audio,xmppclient.audio.AudioLibrary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XMPP-Client-master,audio,xmppclient.audio.AudioManager,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
XMPP-Client-master,audio,xmppclient.audio.AudioMessage,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
XMPP-Client-master,audio,xmppclient.audio.AudioRequestListener,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
XMPP-Client-master,audio,xmppclient.audio.AudioResponseListener,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
XMPP-Client-master,audio,xmppclient.audio.BasicPlayerTest,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
XMPP-Client-master,packet,xmppclient.audio.packet.Audio,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
XMPP-Client-master,provider,xmppclient.audio.provider.AudioProvider,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
XMPP-Client-master,audio,xmppclient.audio.TestReceiver,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
XMPP-Client-master,audio,xmppclient.audio.TestSender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XMPP-Client-master,ui,xmppclient.audio.ui.AudioLibraryPanel,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
XMPP-Client-master,ui,xmppclient.audio.ui.AudioLibraryPanel.LibraryListRenderer,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
XMPP-Client-master,ui,xmppclient.audio.ui.AudioLibraryUI,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
XMPP-Client-master,ui,xmppclient.audio.ui.StreamUI,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
XMPP-Client-master,xmppclient,xmppclient.AvatarChooser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XMPP-Client-master,xmppclient,xmppclient.AvatarChooser.ImageFilter,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
XMPP-Client-master,xmppclient,xmppclient.AvatarChooser.ImagePreview,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
